Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355189,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15279183290,..
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045099643,54790233856,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.70E+11,1.75E+11,1.71E+11,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,..,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048482,1429049198,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11228764963,9129594819,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11,1.01E+11,88815697793,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459470370.4,826370370.4,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,1.41E+11,2.84E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.18E+11,4.45E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858,1911563665,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158,..
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764887117.2,1873452514,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,3.11E+11,4.15E+11,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.40E+12,..
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,1.66E+11,1.97E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006036,5272617196,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48047647059,..
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000,..
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234,9062898936,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37652500000,38574069149,..
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341234,53369787319,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11,2.50E+11,2.74E+11,3.03E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012131457,3059500000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,..
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12736856828,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,63080457023,..
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,2.05E+11,2.36E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11,5.44E+11,5.33E+11,..
